Object ID,Object Name.Term,Description,Title,Non-Original Title,Count,Inscription,Maker.Term,Dates.Date Range,Dimension,Subject.Term,Used.Term,Locale.Term,Period.Term,Culture.Term,Publisher.Term,Style/Tradition.Term,Credit Line,Collection Name,Collection Type.Code Description,Collection.Code Description,Copyright.Copy Right Category Type.Code Description,Copyright.Rights Granted
81.132.2,diorama,Miniature model steam engine train coming out of  tunnel and heading into another. Engine is black with gold writing as is coal car behind it. The third car is a maroon colored passenger car with windows. The fourth car is a maroon colored freight car with two windows. There is a painted background of mountains and sky. The tunnels are modeled and the foreground has rocks. Train is on a model track.,,The Narrow Gauge Denver and Rio Grande,1,(coal car): DENVER AND RIO GRANDE// (engine): MONTEZUMA// (other cars): DENVER & RIO/GRANDE R.W./BAGGAGE/MAIL// NO.3 SMOKING//,"Virgil C. Wells, Joseph Gonzales, A.A. Dubbs, C. Waldo Love, W.P.A.",1936-1937,"H: 48.934 in,  L: 135.339 in, W: 32.702 in","train, tunnel, Montezuma, Denver & Rio Grande Railroad, Baggage, Mail, Smoking",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.3,diorama,scene of silver colored diesel locomotive train coming out of a tunnel and heading into another tunnel. The train is on railroad tracks. There is a roadway in the foreground. The background is a painted scene of mountains. There are power lines following the track.,,Motor Bus and Zephyr Scene,1,(on train): BURLINGTON,"A.A. Dubbs, C. Waldo Love, Works Project Administration, WPA",1936-1937,"H: 49.25 in,  L: 135.339 in, W: 32.31 in","train, tunnel, Burlington Zephyr",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.4,diorama,"scene with two buildings in the foreground. One contains men on two different stories, the lower level has cargo wagons on the train tracks, the second level has the men with pick axes. There is a train stop next to the building on the left with a train stopped on it. There are two refineries to the left of the train. The background is a mountain scene with trees and multiple hills. ",,Lode Mining and Stamp Mill,1,none,"Stanley Poole, Works Project Administration, WPA",1933-1941,"W: 94 in, D: 36 in, H: 38 in","Mining, mill, building, track, Ore, mine, Cross section",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.5,diorama,A scene of a man with a wagon full of rocks/ ore being pulled by four horses. There are reins on the horses. The terrain is rocky and the background is painted and rocky (not flat scene).,,Ore Wagon,1,none,"Harvey Gammill, Arthur Hoyer, A.A. Dubbs, Works Project Administration, WPA",1933-1941,"W: 76 in, D: 25 in, H: 26 in","Mining, wagon, Ore, man, horse, rock, road",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
81.132.7,diorama,"view of hillside, with different routes dug out of the hill, for a long troff and a long pipe. Two men are cranking on either side of a well on the lower left edge of the diorama. Many other men are working with materials around the pipe. The background is a mountain scene, painted.",,Hydraulic Mining and A Spanish Arrastra,1,none,"Julius Ambrush, Works Project Administration, WPA",1933-1941,"W: 94 in, D: 32 in, H: 39 in","Mining, drilling, water, Well, Men, Ox",Denver (Colo.),Denver (Colo.),,,,,,,,Artifacts,,
84.128.34,photograph,"Photograph depicting the exterior and profile view of Longs Peak Inn in Estes Park, Colo. The cabin is made of logs and features a stone chimney and wooden staircase. There are tree trunks that extend through the porch roof and provide support for the structure. This cabin was owned by Enos Mills (1870-1922) a naturalist and a figure who was instrumental in establishing Rocky Mountain National Park. This photograph was shot by Fred Payne Clatworthy (1875-1953) circa 1904-1907, possibly before a fire that destroyed the structure in the summer 1906. A caption in the scrapbook compiled by Nelle Stevenson reads, ""Proprieter [sic] & famous dog trained to stamp out small forest blazes mistook dynamite fuse for one - was killed."" This note refers to Mills' dog Scotch.","Longs Peak Inn, Estes Park, Colo.",,1,"Printed on bottom of photo: ""310 LONGS PEAK INN ESTES PARK COLO, F. P. CLATWORTHY""  Handwritten in scrapbook underneath photo: ""Proprieter [sic] & famous dog trained to stamp out small forest blazes mistook dynamite fuse for one - was killed""","Clatworthy, Fred Payne, 1875-1953",1904-1907,,"Longs Peak Inn (Longs Peak, Colo.), Hotels--Colorado--Rocky Mountain National Park, Estes Park (Colo.)",,,,,,,,Nelle Stevenson collection,,Photographs,,
84.128.37,photograph,"Photograph depicting Big Thompson River next to a dirt road in Big Thompson Canyon in Loveland, Colo. This photograph was shot by Fred Payne Clatworthy (1875-1953) in circa 1900-1907.","Big Thompson Canon, Colo.",,1,"Printed on bottom of photo: ""No - 3 BIG THOMPSON CANON, COLO.  F. P. CLATWORTHY LOVELAND, COLO.""","Clatworthy, Fred Payne, 1875-1953",1900-1907,,"Rocky Mountain National Park (Colo.)., Big Thompson Canyon, Colorado, Loveland, Colorado",,,,,,,,Nelle Stevenson collection,,Photographs,,
84.193.303,photograph,,,,0,,Aultman Studio,1900-1913,,"Trinidad, Colorado, Courthouse",,,,,,,,,,Photographs,,
84.193.341,photograph,,,,0,,Aultman,1940-1950,,"Trinidad, Colorado, Men, Horses, Rifles, Ammunition, Ropes",,,,,,,,,,Photographs,,
84.193.754,photograph,,,,0,,O. E. Aultman,1883 - 1920,,"woman, bicycle",,,,,,,,,,Photographs,,
85.1.1,negative,Studio portrait of a Hispanic woman. She wears a dress with ruffled shoulders and a hat decorated with embroidery and flowers.,,Woman,1,,"O. E. Aultman, Aultman, Oliver E.",05/30/1893,18 x 13 cm. (7 x 5 in.),"Hispanic Americans--Women, Women, Gallegos, Nellie.",,,,,,,,"Aultman Glass Negative Collection, Aultman Studio photographs collection (Ph.00500)",,Photographs,,
85.1.2,negative,"Studio portrait of a man. He wears a coat, vest, and watch chain.",,Man,1,,"O. E. Aultman, Aultman, Oliver E.",1895,18 x 13 cm. (7 x 5 in.),Men,,,,,,,,"Aultman Glass Negative Collection, Aultman Studio photographs collection (Ph.00500)",,Photographs,,
86.296.5667,photograph,,Mt. Ypsilon Estes Park,,0,,Fred P. Clatworthy,1911,"IH: 4 in, IW: 6 in","Mount Ypsilon, Estes Park (Colo.)",,,,,,,,,,Photographs,,
86.333.25,photograph,,Colorado Pharmacal Association Estes Park June 17-18-19 1924,,0,Clatworthy,Fred P. Clatworthy,1920-1930,"SW: 17 in, SH: 7 in","Estes Park (Colo.), Pharmacists",,,,,,,,,,Photographs,,
88.232.10,photomechanical print,,,,0,,Fred Payne Clatworthy,"July 30,1927","IH: 4 in, IW: 5 in",Estes Park (Colo.),,,,,,,,Postcard Collection,,Photographs,,
92.308.2,woodcut print,"Narrow border around print.  Seven objects spaced around perimiter of paper.  Numbered 1-7.  Explanation for each number printed in white middle of print.   Number 1 are swirling lines, round shapes.   Number 2,3,4, and 7 are the mugs, handles can be seen on 2,4 and 7.  Typical Indian designs.  Number 5 is a jar with geometric designs, two small handles at bottom.  Number 6 another bowl with designs around front, some inside bowl.","Growth of Civilization
",1 color block: Mesa Mesa Verde Pottery,1,"Printed in middle, white ink:  ""MESA VERDE POTTERY /1 . INSIDE OF FOOD BOWL /  2  .   3   .  4  .  MUGS/   5   WATER JAR  -  6  .  FOOD BOWL   /  STATE HISTORICAL SOCIETY  /  OF COLORADO ""
","Chuck Tribble, National Art Administration Project",1933-1940,"H: 12 1/4 in, W: 16 5/8 in","text, Mesa Verde, Bowl, jar, mug","Art, Tools & Equipment for Communication, Education, State Historical Society of Colorado",Denver (Colo.),,,,,,,,Artifacts,,
92.308.39,woodcut print,"Narrow border around print.  Seven objects spaced around perimiter of paper.  Numbered 1-.7.  Explanation for each number printed in white middle of print.   Number 1 are swirling lines, round shapes.   Number 2,3,4, and 7 are the mugs, handles can be seen on 2,4 and 7.  Typical Indian designs.  Number 5 is a jar with geometric designs, two small handles at bottom.  Number 6 another bowl with designs around front, some inside bowl.","Growth of Civilization
",1 color block: Mesa Mesa Verde Pottery,1,"Printed in middle, white ink:  ""MESA VERDE POTTERY /1 . INSIDE OF FOOD BOWL /  2  .   3   .  4  .  MUGS/   5   WATER JAR  -  6  .  FOOD BOWL   /  STATE HISTORICAL SOCIETY  /  OF COLORADO ""
","Chuck Tribble, National Art Administration Project",1935-1940,"H: 12 1/4 in, W: 16 3/8 in","text, Mesa Verde, Bowl, jar, mug","Art, Tools & Equipment for Communication, Education, State Historical Society of Colorado",Denver (Colo.),,,,,,,,Artifacts,,
2008.93.9,"printing block, woodcut print","Block includes seven objects spaced around perimiter of block.  Numbered 1-7.  Number 1 is a bowl (looks like a plate as shown) and has swirling lines, round shapes.   Number 2,3,4, and 7 are the mugs, handles can be seen on 2,4 and 7.  Typical Indian designs.  Number 5 is a jar with geometric designs, two small handles at bottom.  Number 6 another bowl with designs around front, some inside bowl.  Text in the center, reverse printing.","Portfolio 1, No. 1 Mesa Verde Pottery (black)
Graphic Art Series (Growth of Civilization) Pre-Historic People, Mesa Verde, 1 color block 
",,1,"Text in the middle of the block reads:  ""MESA VERDE POTTERY /1 . INSIDE OF FOOD BOWL /  2  .   3   .  4  .  7 MUGS/   5   WATER JAR  -  6  .  FOOD BOWL   /  STATE HISTORICAL SOCIETY  /  OF COLORADO ""
Left edge inked 10.  Right edge red ink.  MESA VERDE (SIC) POTTERY BLACK","Chuck Tribble, New Deal, National Art Administration Project",1935-1943,"W: 16 1/8 in, H: 12 1/8 in, D: 1 in","text, Pottery, Mesa Verde, Bowl, jar, mug","Art, Printing T&E, Education, State Historical Society of Colorado, printing, woodcut",Denver (Colo.),,,,,,,,Artifacts,,
2008.93.13.A,"printing block, woodcut print","Many activities depicted in the ""Spanish Village"".  Left side is a man on horseback.  Hat with plumage at back.  On his left a native woman carries a covered basket.  On the right of the horse only the head of person carrying decorated bowl.  On the right a person is weaving a basket.  The right corner depicts a priest with long robes, sandles, holding book, rosary on belt.  Middle and background are more people moving around a fountain, some men carry long rifles, another priest, other men moving about, horse with reins hanging loose.  Buildinga arround the square.","Mixture of the Races No. 3: Spanish Village (Development of Spanish Civilization) (key block/black)
Graphic Art Series (Colorful Periods of Colorado History), 3 color block
",,0,"Spanish Village/State Historical Society of Colorado .  Hunt left hand edge pencilled. Spanish Village Black. Right edge 14
*Hand printed left edge pencil (uncertain):  ""SPANISH VILLAGE        BLACK         HUNT""
*Right side edge pencil:  ""HUNT""","Roy V. Hunt, New Deal, National Art Administration Project",1935-1943,"W: 18 in, H: 12 in, D: 7/16 in","text, horse, Women, Men, priest, Rosary Beads, Weaving, basket, Bowl, Lodging Houses, fountain, lodging business, American Indian","Art, decoration, Education, Printing T&E, Education, Colorado Historical Society",Denver (Colo.),,,,,,,,Artifacts,,
2008.93.31.C,"printing block, woodcut print","Block for grey/blue areas including child and saddle, wheel and figures and structures.","American Fur Traders: The Trapper; The Trading Post 
Graphic Art Series (Colorful Periods of Colorado History), 3 color block (blue/grey)",,0,Left edge inked 33b right edge inked blue grey and pencilled P,"Harold Keeler, Sam Scott, Maida Campbell, Gordon Wilson, New Deal, National Art Administration Project",1935-1943,"H: 12 in, W: 18 in, D: 7/8 in","saddle, child, wheel, trader, trapper, Trading post, Bowl","Art, Printing T&E, Education, State Historical Society of Colorado",Denver (Colo.),,,,,,,,Artifacts,,
CIAPA.OH.001,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case. Side A has a length of 47 minutes, 55 seconds.  Side B has a length of 22 minutes, 40 seconds. transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Ralph Acierno file for additional information and images.",,Ralph Acierno Oral History,1,"The Colo. Historical Society
Preserving Colorado Communities:  The Italians of Denver

Interview with Ralph Acierno
Frank Palmeri and Bonnie Garramone, Interviewers
July 8, 2004, Tape 1, Sides A & B","Palmeri, Frank James, 1926-, Garramone, Bonnie Jean Lynch, 1928-",8-Jul-04,,"Italian American, Wheat Ridge, Colorado, Cugino's Restaurant, Colorado Italian-Italian American Collection, Acierno, Ralph Anthony, 1925-2008, Potenza Lodge, Potenza, Italy, Southern Italy, Denver, Colorado, Our Lady of Mount Carmel Church, Denver, Catholic","Communication Artifact, Sound Communication T&E","Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.002,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  The tape recorded on one side, with a length of 42 minutes, 26 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Joseph ""Joe"" Michael Aiello file for additional information and images.
",,"Joseph ""Joe"" Michael Aiello Oral History",1,"The Colorado Historical Society
Preserving Colorado Communities:  The Italians of Denver

Interview with Joseph M. Aiello

Interviewer - Bonnie Garramone
December 5, 2006
Tape 1 of 1, side A only","Garramone, Bonnie Jean Lynch, 1928-",5-Dec-06,,"Italian American, Colorado Italian-Italian American Collection, Aiello, Joe, 1953-, Andiamo! Colorado's Italian Community Newspaper, The Order of Basilone, Colorado Italian American Hall of Fame, The Primo Awards, Italian American Business Assoication of Greater Denver, Sicily, Italy, Southern Italy, Regis Jesuit High School, East Denver High School, Veteran, United States Marine Corps, Catholic",,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.003,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  Side A has a length of 47 minutes, 54 seconds.  Side B has a length of 32 minutes, 22 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Beverly Mae Allen file for additional information and images.
",,Beverly Mae Allen (Phillips) Oral History,1,"The Colorado Historical Society
Preserving Colorado Communities:  The Italians of Denver

Interview with:  Beverly Mae Allen

Interviewer:  Bonie Garramone
January 18, 2007
Tape 1 of 1","Garramone, Bonnie Jean Lynch, 1928-",1/18/2007,,"Italian American, Colorado Italian-Italian American Collection, Allen, Beverly Mae, Phillips, 1917-, DiGiacomo Family, Mesa Verde, Denver Dry Goods Company, Catholic, Mining, Leyden, Colorado, Louisville, Colorado, Southern Italy, Campobasso, Italy, Boarding House, Aguilar, Colorado, Mount Carmel Church",,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.004,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  Side A has a length of 38 minutes, 50 seconds.  Side B has a length of 20 minutes, 3 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Louis Alonzi file for additional information and images.
",,Louis Alonzi Oral History,1,"Louis Alonzi
full
Oct 6 2005
Clair Villano (int)

Side B is partial - about - 1/2 of Tape

Colo. Historical Society
Italians of Denver

Tape 1 of 1",Clair Villano,6-Oct-05,,"Italian American, Colorado Italian-Italian American Collection, Alonzi, Louis, 1924-2013, musician, Rome, Italy, Central Italy, Denver, Colorado, Bryant Webster School, Horace Mann Junior High School, North High School, Mount Carmel Church",,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.005,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  The recording has one side with a length of 15 minutes, 18 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
This interview was conducted on October 7, 2005 at 2501 16th Street, Denver with Carlo Amato.  The interviewer was Colorado Historical Society volunteer Frank Palmeri.  Carlo begins the interview by stating his birth date in 1948, and outlining the history of how his family came to the United States from Italy.  He starts with the story of his grandfather, also named Carlo Amato, who came to the US in 1921 to be with his brother.  Age 35 when he immigrated, grandfather Carlo was already a master cabinet maker, and started a long running business in cabinets and furniture.  He opened his first shop near Mt. Carmel Church, on Navajo Street.  Later in the 1920s he married his wife, Lillian Lombardi; they had two children, Rose and Frank (the interviewee’s father).  Carlo continues the interview discussing his grandfather’s shift toward statuary business starting in the late 1940s, and his work up until his retirement in 1976.  Carlo also describes his father’s own work in upholstery, which came out of his grandfather’s experience in cabinet making.  


Carlo spends the final portion of the interview describing his schooling at Mt. Carmel and North High School, and the work he did with his grandfather and father before he graduated in 1966.  Carlo went on to continue his grandfather’s statuary business in 1976, and he discusses his national business ventures and mentors in those endeavors.  The interview concludes with Carlo describing the Italian community in North Denver, and his family’s involvement with the Sons of Italy fraternal organization out of the Potenza Lodge.  

Notes:
