Object ID,Object Name.Term,Description,Title,Non-Original Title,Count,Inscription,Maker.Term,Dates.Date Range,Dimension,Subject.Term,Used.Term,Locale.Term,Period.Term,Culture.Term,Publisher.Term,Style/Tradition.Term,Credit Line,Collection Name,Collection Type.Code Description,Collection.Code Description,Copyright.Copy Right Category Type.Code Description,Copyright.Rights Granted
See MSS.02595 Carlo Amato file for additional information and images.
",,Carlo Amato Oral History,1,"The Colorado Historical Society
Preserving Colorado Communities:  The Italians of Denver
Interview with Carlo Amato
Frank Palmeri Interviewer
October 7, 2005
Tape 1 of 1","Palmeri, Frank James, 1926-",7-Oct-05,,"Italian American, Colorado Italian-Italian American Collection, Amato, Carlo, 1948-, Denver, Colorado, fountain, statue, Order Sons of Italy, Our Lady of Mount Carmel Church, Denver, Catholic, garden, The Ale House at Amato’s, Calabria, Italy, Southern Italy, Taranto, Italy, Amato of Denver, Our Lady of Mount Carmel Grade School, Denver",,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.006,"oral history, cassette tape","Physical description:  
Audiotape cassette, analog recording.  Side A has a length of 47 minutes, 55 seconds.  Side B has a length of 22 minutes, 40 seconds.  mp3 file available for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Frank Amato for additional information and images.
",,"Fiore ""Frank"" Genio Amato Oral History",1,"CIAPA.OH.006 Frank Amato interview, Frank Palmeri interviewer.  February 5, 2004

The Colorado Historical Society's Preserving Colorado Communities:  The Italians of Denver

Interview with Frank Amato - Frank Palmeri February 5, 2004

Tape 1 of 1 30 minutes","Palmeri, Frank James, 1926-",8-Jul-04,"H: 1 1/4 in, D: 1/4 in","Italian American, Colorado Italian-Italian American Collection, Amato, Fiore ""Frank"" Genio, 1927-, Denver, Colorado, upholstery trade, Horace Mann Junior High School, Bryant-Webster Elementary School",Sound Communication T&E,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.007,"oral history, mini cassette tape","Physical description:  
Audiotape cassette, analog recording.  Side A has a length of 47 minutes, 55 seconds.  Side B has a length of 22 minutes, 40 seconds.  mp3 file available for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Clyde Rocco Archer file for additional information and images.
",,Clyde Rocco Archer Oral History,1,"CIAPA.OH.007 Clyde Rocco Archer interview, Ralph Mancinelli and Bonnie Garramone interviewers.  March 28, 2005","Ralph Mancinelli, Garramone, Bonnie Jean Lynch, 1928-",28-Mar-05,"H: 1 1/4 in, D: 1/4 in","Italian American, Colorado Italian-Italian American Collection, Denver, Colorado, Pascal Celery, Regis High School, grocery stores, Federal navy, Clyde's Italian & German Sausage, Inc.",Sound Communication T&E,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.008,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  Side A has a length of 48 minutes, 18 seconds.  Side B has a length of 30 minutes, 23 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Perla Ciria Arellano and (Sister) Bernadette Casciano files for additional information and images.
",,Oral History--Perla Ciriaa-Arellano and Sister Bernadette Casciano talk about Mother Cabrini,1,"The Colorado Historical Society
Preserving Colorado Communities:  The Italians of Denver
Interview with Perla Ciriaarellano & Sister Bernadette Casciano @ M. Cabrini Shrine
RE:  M. Cabrini & Queen of Heaven Orphanage
Alisa Zahller Corrine Bush > Interviewers
12/08/2003, Tape 1 of 1","Alisa Michelle Sawyer Zahller, Corrine LaConte Bush",8-Dec-03,,"Italian American, Colorado Italian-Italian American Collection, Ciriaa-Arellano, Perla, Casciano, Sister Bernadette, Mother Cabrini Shrine, Catholic, Cabrini, Saint Frances Xavier, 1850-1917, Queen of Heavan Orphanage, Denver, Colorado, 1905-1969, orphanage, Denver, Colorado, First Holy Communion, Maypole, May Day",Tools & Equipment for Communication,Golden (Colo.),,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.009,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  Side A has a length of 47 minutes, 24 seconds.  Side B has a length of 47 minutes, 24 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
See attached index for interview summary.

Notes:
See MSS.02595 Rocco D. Astuno and Violet Acierno file for additional information and images.
",,Rocco Astuno and Violet (Acierno) Astuno Oral History,1,"Astuno, Rocco & Violet (Acierno)

The Colorado Historical Society
Preserving Colorado Communities:  The Italians of Denver

Interview with Rocco Astuno and his wife, Violet (Acierno) Astuno

Interviewer:  Bonnie Garramone, CHS volunteer
January 31, 2006
Tape 1 of 1","Garramone, Bonnie Jean Lynch, 1928-",31-Jan-06,,"Italian American, Catholic, Colorado Italian-Italian American Collection, Denver, Colorado, Potenza, Italy, Southern Italy, Potenza Lodge, Knights of Columbus, ITAMS, Astuno, Rocco David Jr., 1934-, Astuno, Violet (Acierno), 1938-",,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
CIAPA.OH.010,"oral history, cassette tape","Physical description:  
Original on audiotape cassette in case.  2 mp3 files.  The tape has one side with a length of 47 minutes, 17 seconds. Transferred to one mp3 file for access.

Project description:
In 2002, the Colorado Historical Society (now known as History Colorado) founded the Colorado Italian American Preservation Association (CIAPA). A volunteer organization, CIAPA’s mission is to work collaboratively with the Society and other organizations to develop, support and coordinate projects that preserve, promote and celebrate Italian American culture and heritage.  Since 2002, CIAPA has carried out its mission by meeting with people from the Colorado Italian American community, recording their stories and creating an archive of research materials that includes oral histories, photographs, moving images, sound recordings and artifacts. To date, CIAPA has helped the Society acquire over 200 oral histories, 600 artifacts and nearly 6,000 photographs.  Since 2002, CIAPA has developed over 4,000 research files, all of which document the history, culture and traditions of Italian American families in Colorado.  

Interview summary:
This interview was conducted on April 10, 1930 with Maxine Berlinger at her home.  The interviewer was  A.C. Iannacito.  The interview begins with Maxine giving information about her birth in 1930, and her full, Italian name, Rubina Maxine Berlinger.  Maxine then discusses her parents and how they immigrated to the United States.  Maxine’s father, Benjamin Berlinger was born in 1896, and immigrated to the United States at age 7 where he was raised by his four brothers.  He and his brothers lived in Montana, where they worked in the Copper mines .  Gaining a sixth grade education, Benjamin was a self-taught engineer; he enlisted in the military during World War I, and later returned to Montana where he married his wife, Rose around 1920.  Benjamin moved to Colorado with his family in 1923 to be a bricklayer, and had four children.  He later worked for Nabisco to use his engineering skills.

The latter part of the interview focuses mostly on Maxine’s professional career as a nurse and nursing academic.  Maxine graduated from North High School in Denver in 1948, then went on to Loretto Heights College to go to nursing school.  She later received her Master’s Degree in nursing from the University of Chicago in 1959, where Maxine recalls being chosen as the youngest ever nursing candidate directly by nationally renowned nurse Florence Blake to attend.  Maxine also remembers her extensive work history in nursing, where she worked as a nurse, nursing professor, dean, and administrator at the University of Colorado School of Nursing, University of Colorado General Hospital Pediatrics wing, and off and on at the University of Hawaii School of Nursing.  Maxine retired in 1986, though she continued working in nursing in various positions until 1994.  The interview concludes with Maxine’s various memories of the Italian community in Denver, including her meeting of the Pope in 1994, and discussions of family photographs and artifacts.         

Notes:
See MSS.02595 Maxine R. Berlinger file for additional information and images.
",,Maxine R. Berlinger Oral History,1,"6/14/2005
Colo. Italian American
Maxine Berlinger
Denver, CO
June 14, 2005
by A.C. Iannacito","Iannacito, Alan C.",14-Jun-05,,"Italian American, Colorado Italian-Italian American Collection, Berlinger, Maxine R., 1930-2007, Denver, Colorado, Paulino Family, Emily Griffith Opportunity School, Nabisco Inc., North High School, nurse, Loretto Heights College, Campobasso, Italy, Southern Italy, World War I",,"Denver, Colorado",,,,,,Colorado Italian-Italian American Collection,,Archives,Educational Use Only,Property of History Colorado.  May not be reproduced or used without permission.  Participant release forms on file.
E.1894.169.A,"pipe, Pipe stem","This is a pipe stem is constructed from carving wood. The pipe stem has been incised and decorated into a geometric pattern by burning.
",,,0,,"American Indian, Ute",1890,"L: 66.00 cm, W: 2.50 cm, D: 8.50 cm",,,,,,,,,Ute Collection,,Artifacts,,
E.1894.169.B,"pipe, pipe bowl","This is a pipe bowl is constructed from catlinite. The pipe bowl is a t-shaped with frontal projection, and on one end the typically round piece is carved into a rectangular shape, on which is a carved triangular design.
",,,0,,"American Indian, Ute",1890,"L: 66.00 cm, W: 2.50 cm, D: 8.50 cm",triangle,,,,,,,,Ute Collection,,Artifacts,,
eG4312 .C4C2 1882 .S3,Map,,"Colorado : with appendix containing alphabetical register & indexed location of all peaks, passes, watercourses & plats of all pat. mines / by Axel Silversparre, C.E. and Surveyor.",,1,,,,,"Mines--Colorado--Maps., Colorado--Maps.",,,,,,,,Map Collection,,Archives,,
eG4312 .C4P3 1879,Map,"Mounted on cloth. Shows right of way claimed by R.R. Co. from Georgetown to Leadville including ""Colorado Western R.R. surveyed in 1879"" on Blue River into North Park and extension to Breckenridge. ""Received Omaha, Neb. Oct. 22, 1890, UP Ry."" Verso: ""Loveland map R.R."" Poor, M.C. Denver South Park and Pacific. p.86,...as stated in the Union Pacific's Annual Report for the year 1879, the consolidation disposed of ""many questions of a vexatious and disturbing nature..."" [W.A.] Loveland was displaced and forced out of the great railroad system..."" Firm job number: B.B 13-H14-7. D-3-5.","[Central Colorado railroad map, 1879]",,1,,,,,Railroads--Surveys--Colorado--Maps.,,,,,,,,Map Collection,,Archives,,
eG4312 .C4P3 1920 .W3,Map,"Photocopy; blueprint. Relief shown on condesned profile. Charts indicate summary of main line rail by weight; condensed profile of railroad between Colorado Springs and New Castle, including historical data. ""George W. Vallery, Receiver"". ""Correct to 6-8-20"". Map has been re-issued to accompany Colorado Midland by Morris Cafky (Rocky Mountain Railroad Club, 1965).","Colorado Midland Railway : condensed profile rail chart [in central Colorado] / V.B. Wagner, Chief Engr's Office, April 1913.",,1,,,,,Colorado--Railroads--Maps,,,,,,,,Map Collection,,Archives,,
G3701 .G6 1883 .U515,Map,"Prime meridian: Greenwich. In upper border: Eleventh census of the United States, Robert P. Porter, superintendent. Indians. Insets: Alaska, Mission Ind. Res. in California, Indian Terr'y. Includes legend.  Donated Nov. 12, 1897.","Map showing Indian reservations with the limits of the United States / compiled under the direction of the Hon. T.J. Morgan, Commissioner of Indian Affairs.",,1,,,,,"Indians of North America--Maps., Indian reservations--United States--Maps., Morgan, T. J.",,,,,,,,Map Collection,,Archives,,
G3701 .G6 1888 .U5I5 .R6,Map,Relief shown by natural water features. Inset maps: Alaska. -- Mission Indian reservations in California. -- Indian Territory. Accession number: 83-136.52.,"Map showing the location of the Indian reservations : within the limits of the United States and Territories / compiled from official and other authentic sources, under the direction of the Jno. H. Oberly, Commissioner of Indian Affairs ; Wm. H. Rowe, draughtsman.",,1,,,,,"Indians of North America--Maps., Indian reservations--United States--Maps., Oberly, Jonathan H., Commissioner.",,,,,,,,Map Collection,,Archives,,
Mss.00001,manuscript collection,"Collection includes letters, envelopes and photographs.",,Joseph B. Abbott Manuscript Collection,0,see individual items,"Joseph B. Abbott, Barnhouse & Wheeler",,,"text, George Washington, burro, Lake City, Colorado, Charles Abbott, Utes, Chief Ouray, Los Pinos Indian agency, Indian Agent","Charles Abbott, New Hampshire, Los Pinos, Colorado, Joseph B. Abbott","Los Pinos, Colorado, Lake City, Colorado, Hinsdale County, Colorado",,,,,,,,Archives,,
MSS.2161,manuscript collection,,,Sandstead MSS Collection,0,,,,,,,,,,,,,Sandstead Collection,,Archives,,
MSS.2590,manuscript collection,"Items in the John C. Jerry (Cerasuolo) Collection include:

1.  Cerificate of Independent Order of Odd Fellows
2.  Notice to Rport for emplyment with Remington Arms Co., Inc.
3.  Certificate from the Seiberling Rubber COmpany
4.  Ford Optical Company; Seven negatives
5.  Employee SOcial Security Record
6.  San Francisco Tuberculosis Association Report of X-Ray Examination
7.  1928 Journal/Address/Phone Book
8.  Booklet of Receipts
9.  1926 Diary and Budget Account Booklet
10.  Kansas City Life Insurance Company Kansas City Memoranda Booklet
11.  Loose Leaf Memo
12.  Radio Items:  A. Temporary Instructions for Use on Short Waves
                            B. Certificate of Registration-National Radio Institute
                            C. Kadette Radio
                            D.  Instriction for Operation of Kadette Radio
13.  Eight Notices of Classification
14.  Two envelopes, 1929, 1920
15.  Furniture recipts:  The Desserich Furniture Co. 1943; The Fred Davis Furniture Co. 1941; The Fred Davis Furniture Co. 1941; The Desserich Furniture Co. 1943; The Auto Equipment Co. 1941
16.  South San Francisco Senior Center Services Flyer; Picture of ""Uncle John"" playing pool on back",,John C. Jerry (Cerasuolo) Collection,1,,,1920-1945,"H: 10 3/4 in, W: 15 1/2 in, D: 5 in","Remington Arms Company, Independent Order of Odd Fellows, Ford Optical Company, social security, The Seiberling Rubber Company, Tuberculosis, Diary, John C. Jerry, radio, receipt, furniture","Documentary Artifact, Denver (Colo.), Italian American",Denver (Colo.),,,,,Courtesy of Ralph and Rosemary Mancinelli,Colorado Italian-Italian American Collection,,Artifacts,,
MSS.2593,manuscript collection,"""Lucia Iannacito/Vastrogirardi Document k- Immigration paperwork"" Top left corner is a stamp that appears like a coin.  Depicted in the coin is a lady wearing a corwn, raised right hand holds a cross, left hand leans on a placard with cross on it.  A lion on the ground behind her.",,Lucia Iannacito/Vastrogirardi Document,1,,,1905,"H: 14 x 12 in, W: 8 1/2 in, WC: 8 1/2 in",,"Documentary Artifact, Personal Artifacts, Lucia Iannacito",Colorado,,,,,Donation courtsey of Frank Palmeri,Colorado Italian-Italian American Collection,,Artifacts,,
MSS.2594,manuscript collection,"Collection includes passport and immigration document

Passport:  Covers are light weight cardstock.  Front cover is title of booklet.  First page is number of passport, name of the King of Italy, text is in Italian, name, date and other information listed on this page.  Pages two and three are in Italian.  There are 20 pages in the book.  Each page has lines.  

Luigi Carosella ""Regio Esercity Italiano"" - Immigration document.  Document is printed in Italian, date 10 September, 1907.  Left side of document depicts a star with rays emiting from it, crown, foilage, shield.  Lady sword in right hand, left hand raised toward title, lion at her left side.  At her feet are several flags, round shield with smaller shields around permiter, crown in middle with ""RE  E Patria"" under crown.  Several embossing stamps on pages.  Next three pages are also printed/written in Italian.",,Luigi Carosella MSS Collection,1,"*Printed on cover in black:  ""REGNO D'ITALIA  /  PASSAPORTO  /  PER L'ESTERO  /  197  /  ROMA  /  Tipogralia del Ministero degli Affari Esteri""
*Hand written cover top left corner blue:  ""218""
*Stamped in red cover top right:  ""304""
",,1880,"H: 6 x 12 1/2 in, WC: 4 1/8 x 9 in","text, lady, lion, flag, shield, Star, cross, Luigi Carosella","Luigi Carosella, Documentary Artifact","Rome, Italy",,,,,Gift of Frank Palmeri,Colorado Italian-Italian American Collection,,Artifacts,,
O.196.1,Bowl,,,,1,,,PREHISTORIC,"DIA: 20.32 cm, H: 8.26 cm","band, dot, triangle",,,,Ancestral Puebloan,,Mesa Verde Black on White,,A. Wetherill Collection,,Artifacts,,
O.197.1,Bowl,,,,1,,,PREHISTORIC,"DIA: 6.75 in, H: 3.5 in","Half diamond, line, Dotted",,,,Ancestral Puebloan,,Mesa Verde Black on White,,A. Wetherill Collection,,Artifacts,,
O.291.1,Bowl,Images of turkeys are painted on the exterior. ,,,1,,,PREHISTORIC,"H: 8.90 cm, DIA: 17.80 cm","band, bird, dot, line, Diagonal","food service, Ancestral Puebloan",,,"Ancestral Puebloan, Ancestral Puebloan",,Mesa Verde Black on White,,A. F. Wilmarth Collection,,Artifacts,,
O.292.1,Bowl,,,,1,,,,"H: 7.90 cm, DIA: 18.00 cm","bird, circle, Zig-zag, Dotted",,,,Ancestral Puebloan,,Mesa Verde Black on White,,A. F. Wilmarth Collection,,Artifacts,,
O.327.1,ladle,Ladle is in three (two bowl fragments and a handle) pieces as of 5/28/02.,,,1,,,PREHISTORIC,L: 16.80 cm,"diamond, X",,,,Ancestral Puebloan,,McElmo Black on White,,A. F. Wilmarth Collection,,Artifacts,,
O.413.1,"Sherd, Bowl","Written note attached reads, ""Supposed to be of the Wilmarth Collection.  March 1914.""  Written in pencil, ""Over No. 2  [?????]ing.""",,,1,,,PREHISTORIC,"L: 13.30 cm, W: 14.60 cm","figure, zoomorphic, line",,,,Ancestral Puebloan,,,,A. F. Wilmarth Collection,,Artifacts,,
O.428.1,mug,,,,1,,,c. 350 - 1300 AD,"H: 10.00 cm, DIAM: 9.65 cm","line, stepped, interlocking, dot",,,,Ancestral Puebloan,,,,A. F. Wilmarth Collection,,Artifacts,,
O.591.1,basket,"6/13/14: This yucca twilled ring basket is one of many that were found in Pueblo III sites (AD 1150-1300) in the Mesa Verde region. It is loosely woven and said to be easily constructed. It gets its name from the ring made with a small branch that forms the top of the basket. Some archaeologists think these were used to sift or winnow flours or seeds. 
5/29/12 SRG: Osborne (2004: 340) describes the design as a meandering line forming open concentric rectangles. 
Tag inside basket reads, ""O.591.1  M.V.H.10 B.""",,,1,,,PREHISTORIC,,,food bowl,,,Ancestral Puebloan,,,,A. Wetherill Collection,,Artifacts,,
